nace2,trshare,goodshare,output,input,importedgoods,nonzeroshare
0,,0.825266246,12480985.96,9633749.353,5856579.066,0.792678699
15,0.194882077,0.7888518,1734326.357,1381813.131,241994.535,0.769677387
16,0.488907415,0.620518033,69188.71701,45061.4984,18597.15255,0.598312109
17,0.709884106,0.81847442,228378.5497,173194.3712,122137.909,0.783939886
18,0.811833499,0.885162206,362646.1123,266424.0304,215797.1068,0.846435272
19,0.796968213,0.884774792,142391.5312,106703.7044,84628.34435,0.859576365
20,0.437313522,0.724461059,183409.1502,125597.5582,54359.92273,0.691623666
21,0.640505835,0.781706559,199592.0876,154846.2276,97214.68793,0.692427498
22,0.257305107,0.623375301,354465.5679,253738.5696,57994.24966,0.596611641
23,0.807967889,0.860940738,606220.9664,412499.6625,329280.3056,0.809042292
24,0.448623335,0.676829875,816575.4601,543692.0307,223763.9795,0.647403774
25,0.573450398,0.806011122,405795.9351,303249.5925,164521.9468,0.768764621
26,0.281856559,0.584206869,323125.2311,193530.4324,49498.89944,0.557780488
27,0.577382483,0.73221869,469383.5389,384282.6795,211390.1902,0.625855596
28,0.375665719,0.777451379,489907.5997,328419.3216,115556.9774,0.737710976
29,0.523582623,0.786287949,725306.2679,501149.2979,250742.3109,0.75628295
30,0.984207554,0.894766556,1187259.146,1105150.388,981230.4651,0.87987672
31,0.711554514,0.846031699,814107.2209,639682.9319,396719.366,0.825100735
32,0.950059164,0.939837091,1278892.665,1094511.129,1016719.746,0.909577091
33,0.563788197,0.712715623,130809.9449,78186.00125,42481.54656,0.680615738
34,0.832204221,0.906737688,1645952.964,1336075.698,1075812.393,0.870422876
35,0.570347049,0.751135556,79977.25501,53045.48483,29071.8638,0.715345426
36,0.519295885,0.7396471,233273.6962,152895.6122,77065.1671,0.713182533
