parameter,estimate,se
"seed",0,144.4818
"nace2",0,0
"b_lnK",.0410512,.0030398
"b_lnL",.1980957,.0084444
"b_PlnM",.7523921,.0118503
"a1",.3267903,.0608979
"ahat1",.3267903,.0608979
"s1",.6255364,.0589734
"shat1",.6255364,.0589734
"B1",1.186146,.0791979
"theta",4.005783,.8136341
"lambda",.6503122,.0587939
"b_afterforeign",.0537785,.014026
"b_demand_1",.0656145,.0131885
"b_demand_2",.0090145,.0056894
"coef56Nfirms",127472,537.4861
"p_a1_EDF",.0039841,
"p_B1_EDF",.0079681,
"theta_low",3.032736,
"theta_high",6.289623,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
