parameter,estimate,se
"seed",0,144.4818
"nace2",0,0
"b_lnK",.0403897,.0030594
"b_lnL",.201365,.008031
"b_PlnM",.7523921,.0121115
"a1",.1944016,.0531022
"ahat1",.1944017,.0531022
"s1",.6255364,.0545748
"shat1",.6255364,.0545748
"B1",1.106887,.0473793
"theta",6.052739,2.262845
"lambda",.6503122,.0546323
"b_afterforeign",.0673265,.0098099
"b_exporter",.045718,.005384
"b_importedbefore",-.002496,.0059522
"b_demand_1",.031452,.0117961
"b_demand_2",.0119003,.0053873
"coef56Nfirms",127472,554.7421
"p_a1_EDF",.0039841,
"p_B1_EDF",.0039841,
"theta_low",4.14134,
"theta_high",12.91911,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
