parameter,estimate,se
"seed",0,144.4818
"nace2",0,0
"b_lnK",.038324,.0036634
"b_lnL",.2150481,.0087797
"b_PlnM",.7523921,.0118503
"a1",.1636558,.0554601
"ahat1",.1636558,.0553456
"s1",.6255364,.0589734
"shat1",.6255364,.0588105
"B1",1.089252,.0433512
"theta",7.00199,202.0199
"lambda",.6503122,.0587939
"b_afterforeign",.0728422,.1763664
"b_exporter",.0519965,.0055812
"b_demand_1",.0759235,.0499165
"b_demand_2",.0130406,.0078803
"b_lagGn_1_per_gamma",.1203753,.0768738
"long_run_a1",.2840311,.0914921
"coef56Nfirms",127472,537.4861
"p_a1_EDF",.0079681,
"p_B1_EDF",.0079681,
"theta_low",4.352673,
"theta_high",19.84838,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
