parameter,estimate,se
"seed",0,144.4818
"nace2",0,0
"b_lnK",.0411967,.0031125
"b_lnL",.1964542,.0081829
"b_PlnM",.7523921,.0121115
"a1",.2349754,.0642421
"ahat1",.2133967,.0572901
"s1",.4510683,.0353174
"shat1",.4859471,.0522717
"B1",.9821303,.0656073
"a2",.2997373,.0649243
"ahat2",.3143844,.063218
"s2",.6572528,.053493
"shat2",.624815,.0445783
"B2",1.177701,.0606548
"theta",4.118273,.8977328
"lambda",.6503122,.0546323
"b_afterforeign",.0614866,.0135254
"b_exporter",.0449372,.0055645
"b_demand_1",.0658307,.0129172
"b_demand_2",.0101164,.0055684
"coef56Nfirms",127472,554.7421
"p_a1_EDF",.0039841,
"p_a2_EDF",.0039841,
"p_B1_EDF",.7330678,
"p_B2_EDF",.0039841,
"p_B2_B1_EDF",.0159363,
"theta_low",3.135397,
"theta_high",6.711595,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
