parameter,estimate,se
"seed",0,144.4818
"nace2",0,0
"b_lnK",.0402331,.0032412
"b_lnL",.1980829,.0083927
"b_PlnM",.7523921,.0121115
"a1",.3774249,.096632
"ahat1",.3005133,.0922812
"s1",.3421837,.0269886
"shat1",.5130797,.071588
"B1",1.022093,.1261294
"a2",.2714199,.0789106
"ahat2",.2872499,.0693972
"s2",.5314399,.0510342
"shat2",.4973657,.0583705
"B2",.9956095,.094882
"theta",3.394752,.5883645
"lambda",.6503122,.0546323
"b_afterforeign",.0499942,.0173206
"b_demand_1",.0236798,.0117265
"b_demand_2",.0078127,.0057381
"a3",.209472,.0678888
"ahat3",.244289,.0568169
"s3",.5105177,.0703713
"shat3",.4429006,.0604445
"B3",.908653,.0988614
"a4",.3292704,.0688027
"ahat4",.3139665,.0686329
"s4",.4933983,.0677244
"shat4",.5285168,.065414
"B4",1.048839,.1097105
"a5",.3329221,.1097614
"ahat5",.3317282,.0891268
"s5",.5452923,.0461821
"shat5",.5481509,.0638791
"B5",1.084021,.1181909
"a6",.4760103,.0959279
"ahat6",.4594944,.0920678
"s6",.6135524,.0546916
"shat6",.6672539,.0576794
"B6",1.33716,.130483
"a7",.357071,.083726
"ahat7",.4010159,.0719821
"s7",.7414499,.0664083
"shat7",.6172349,.056755
"B7",1.22083,.102245
"coef50a8",.349675,.0798647
"coef51ahat8",.3640355,.0724215
"coef52s8",.6189426,.0508281
"coef53shat8",.5817913,.0545945
"coef54B8",1.14781,.0972391
"coef56Nfirms",127472,554.7421
"p_a1_EDF",.0039841,
"p_a2_EDF",.0039841,
"p_a3_EDF",.0039841,
"p_a4_EDF",.0039841,
"p_a5_EDF",.0039841,
"p_a6_EDF",.0039841,
"p_a7_EDF",.0039841,
"p_B1_EDF",.9003984,
"p_B2_EDF",.8446215,
"p_B3_EDF",.370518,
"p_B4_EDF",.6334661,
"p_B5_EDF",.4820717,
"p_B6_EDF",.0039841,
"p_B7_EDF",.0438247,
"p_B2_B1_EDF",.685259,
"p_B3_B2_EDF",.3545817,
"p_B4_B3_EDF",.0199203,
"p_B5_B4_EDF",.8605578,
"p_B6_B5_EDF",.1035857,
"p_B7_B6_EDF",.3944223,
