parameter,estimate,se
"seed",0,144.4818
"nace2",20,0
"b_lnK",.0378155,.0084045
"b_lnL",.1548834,.014644
"b_PlnM",.7688822,.0113915
"a1",.3645971,.1326702
"ahat1",.3645971,.1326702
"s1",.7388995,.159563
"shat1",.7388995,.159563
"B1",1.326362,.2669105
"theta",4.683106,1.728126
"lambda",.5004567,.0977182
"b_afterforeign",.0506021,.158614
"b_demand_1",.2084212,.0577137
"b_demand_2",-.0316733,.0476611
"coef56Nfirms",7926,138.2232
"p_a1_EDF",.0039841,
"p_B1_EDF",.2868526,
"theta_low",2.901682,
"theta_high",9.370341,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
"",,
