"variable","order"
"b_lnK",1
"b_lnL",2
"b_PlnM",3
"a1",4
"ahat1",5
"s1",6
"shat1",7
"B1",8
"a2",9
"ahat2",10
"s2",11
"shat2",12
"B2",13
"theta",14
"lambda",15
"b_afterforeign",16
"b_exporter",17
"b_importedbefore",18
"b_demand_1",19
"b_demand_2",20
"b_lagGn_1_per_gamma",21
"b_lagGn_2_per_gamma",22
"long_run_a1",23
"long_run_a2",24
"a3",25
"ahat3",26
"s3",27
"shat3",28
"B3",29
"a4",30
"ahat4",31
"s4",32
"shat4",33
"B4",34
"a5",35
"ahat5",36
"s5",37
"shat5",38
"B5",39
"a6",40
"ahat6",41
"s6",42
"shat6",43
"B6",44
"a7",45
"ahat7",46
"s7",47
"shat7",48
"B7",49
"a8",50
"ahat8",51
"s8",52
"shat8",53
"B8",54
"nace2",55
"Nfirms",56
