table4
,1,2,3,4
Parameter,Exporter,Foreign,Importedbefore,Lag_Gn
seed,0.000 (144.482),0.000 (144.482),0.000 (144.482),0.000 (146.646)
nace2,0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
Capital,0.041 (0.003),0.041 (0.003),0.040 (0.003),0.039 (0.005)
Labor,0.196 (0.008),0.199 (0.008),0.201 (0.008),0.214 (0.019)
Material,0.752 (0.012),0.752 (0.012),0.752 (0.012),0.752 (0.012)
a1,0.235 (0.064),0.290 (0.068),0.189 (0.058),0.195 (0.063)
Per-product import gain,0.213 (0.057),0.271 (0.063),0.156 (0.052),0.126 (0.062)
s1,0.451 (0.035),0.451 (0.035),0.451 (0.035),0.451 (0.036)
Import share,0.486 (0.052),0.490 (0.052),0.490 (0.049),0.515 (0.059)
Efficiency of imports (A),0.982 (0.066),0.984 (0.083),0.991 (0.046),1.010 (0.048)
a2,0.300 (0.065),0.377 (0.070),0.201 (0.061),0.104 (0.082)
ahat2,0.314 (0.063),0.390 (0.068),0.224 (0.059),0.159 (0.064)
s2,0.657 (0.053),0.657 (0.053),0.657 (0.053),0.657 (0.053)
shat2,0.625 (0.045),0.621 (0.042),0.621 (0.048),0.596 (0.053)
B2,1.178 (0.061),1.220 (0.072),1.121 (0.048),1.071 (0.042)
Elasticity of substitution,4.118 (0.898),3.484 (0.593),5.323 (1.977),6.719 (857.221)
Curvature of G(n),0.650 (0.055),0.650 (0.055),0.650 (0.055),0.650 (0.054)
Foreign ownership,0.061 (0.014),0.066 (0.015),0.066 (0.012),0.028 (0.077)
Exporter,0.045 (0.006),,0.046 (0.005),0.052 (0.006)
Industry sales,0.066 (0.013),0.066 (0.013),0.032 (0.012),0.070 (0.020)
Local demand growth,0.010 (0.006),0.010 (0.006),0.012 (0.005),0.012 (0.007)
coef56Nfirms,127472.000 (554.742),127472.000 (554.742),127472.000 (554.742),127472.000 (554.516)
p_a1_EDF,0.004,0.004,0.004,0.004
p_a2_EDF,0.004,0.004,0.004,0.219
P-value of test for A=1,0.733,0.777,0.777,0.897
p_B2_EDF,0.004,0.004,0.004,0.046
p_B2_B1_EDF,0.016,0.012,0.012,0.269
theta_low,3.135,2.753,3.758,4.083
theta_high,6.712,5.004,10.919,66.082
Previous importer,,,-0.002 (0.006),
b_lagGn_1_per_gamma,,,,-0.087 (0.055)
b_lagGn_2_per_gamma,,,,0.306 (0.095)
long_run_a1,,,,0.107 (0.072)
long_run_a2,,,,0.410 (0.093)
,,,
""

